ZIP,LAT,LONG
77002,29.75635,-95.36538
77003,29.74961,-95.34521
77004,29.72477,-95.36498
77005,29.71824,-95.42413
77006,29.74086,-95.39126
77007,29.77152,-95.40919
77008,29.79856,-95.41766
77009,29.79499,-95.36758
77010,29.75368,-95.35987
77011,29.743,-95.30785
77012,29.71904,-95.27449
77013,29.79516,-95.23895
77014,29.98025,-95.46363
77015,29.76485,-95.17216
77016,29.86147,-95.29951
77017,29.69153,-95.25093
77018,29.82703,-95.42571
77019,29.75318,-95.41212
77020,29.76842,-95.30878
77021,29.69713,-95.35751
77022,29.8306,-95.3768
77023,29.7216,-95.31827
77024,29.77073,-95.50869
77025,29.68584,-95.43512
77026,29.80013,-95.32934
77027,29.73919,-95.44609
77028,29.82471,-95.28668
77029,29.76382,-95.26326
77030,29.70597,-95.40253
77031,29.65434,-95.54622
77032,29.96523,-95.34004
77033,29.66801,-95.33801
77034,29.61522,-95.19237
77035,29.65269,-95.47688
77036,29.70119,-95.53659
77037,29.8918,-95.39438
77038,29.91906,-95.44121
77039,29.90923,-95.34137
77040,29.87539,-95.52861
77041,29.86203,-95.58187
77042,29.74125,-95.56015
77043,29.8112,-95.57981
77044,29.89808,-95.17685
77045,29.63634,-95.43279
77046,29.73438,-95.43301
77047,29.60843,-95.38662
77048,29.62154,-95.32986
77049,29.83417,-95.14827
77050,29.90286,-95.27013
77051,29.65586,-95.38023
77053,29.58549,-95.45991
77054,29.68102,-95.40424
77055,29.79757,-95.4928
77056,29.74849,-95.46806
77057,29.74522,-95.48885
77058,29.56297,-95.09303
77059,29.60929,-95.12417
77060,29.93567,-95.39697
77061,29.65436,-95.28481
77062,29.57584,-95.13406
77063,29.7356,-95.52157
77064,29.92279,-95.5467
77065,29.92673,-95.60324
77066,29.95714,-95.50277
77067,29.95283,-95.44719
77068,30.00628,-95.48694
77069,29.98631,-95.52398
77070,29.97783,-95.57377
77071,29.65265,-95.52046
77072,29.70006,-95.58539
77073,29.99849,-95.39804
77074,29.68821,-95.51633
77075,29.62119,-95.26749
77076,29.86002,-95.38328
77077,29.75375,-95.64189
77078,29.8529,-95.25089
77079,29.77632,-95.6037
77080,29.81662,-95.52375
77081,29.71219,-95.48026
77082,29.72383,-95.6414
77083,29.69316,-95.64858
77084,29.82698,-95.6612
77085,29.62465,-95.48411
77086,29.9186,-95.49064
77087,29.68631,-95.3034
77088,29.88148,-95.45316
77089,29.58698,-95.2257
77090,30.00845,-95.44317
77091,29.85382,-95.43969
77092,29.83153,-95.47521
77093,29.8623,-95.34097
77094,29.7738,-95.69955
77095,29.90834,-95.65492
77096,29.67464,-95.47965
77098,29.73482,-95.41526
77099,29.67067,-95.58485
77587,29.66067,-95.22872
